1,城に設けられた惣構（総構）の代表格といえば後北条氏の小田原城、豊臣氏大坂城、徳川氏江戸城などだが、次の中で総延長が最も長かったのはどれか。,金沢城,姫路城,京都御土居,会津若松城,3
2,馬出には、様々な種類があるが、佐倉城に残っている馬出は江戸時代の軍学書による分類ではどれか。,真の角馬出,草の角馬出,真の丸馬出,草の丸馬出,2
3,徳川氏大坂城の外郭主要4門に出枡形形式のものがあった。それはどれか。,大手門,玉造門,青屋門,京橋門,3
4,石垣に使用する石材の産地が近場にない限り、遠方の産地から運搬せざるを得なかったが、城地自体が岩山であるため自前の石で築かれた城がある。それはどれか。,会津若松城,仙台城,盛岡城,弘前城,3
5,品川台場、五稜郭などで使用されている跳出が、石垣の勾配の一つとして挙げている軍学書はどれか。,海国兵談,武教全書,山鹿流兵法伝書,甲陽軍鑑,1
6,徳川幕府は武家諸法度などで全国支配体制を固めて行ったが、参勤交代制度や仕事を求めて江戸にやってきた武士階級・各種職人たちはすべて男性であり、江戸中期に100万人に達した江戸人口の何%が男性であったか。,80,75,70,65,3
7,1615年、徳川幕府が「一国一城令」を発布したことにより、全国に存在する城の数は170城程度に整理された。発布以前の城の数はどれか。,3000,2000,1000,500,1
8,戦国大名1号と言われる伊勢宗瑞（北条早雲）に始まる北条5代の城主たちは北条家の勢力拡大維持のため、各地の有力大名たちと姻戚関係を築いていた。次の中で関係の無い大名は誰か。,今川義元,武田信玄,徳川家康,伊達政宗,4
9,今日のコンクリート擁壁設計では断面内に引張り応力が発生しないように鉄筋を配置したり断面形状を変更したりするが、城の石垣は鉄筋もセメントも用いないで400年以上安定しています。この伝統技術は、石垣断面中に引張り応力が生じないように間詰め石などを介して石材を積み上げて、土圧などを石積み断面内に集めて、何という作用で抵抗しているものか。,アーチ,相互,複合,せん断抵抗,1
10,1990年代の発掘調査により戦国時代の遺構が良好な状態で残されている事が分かり、全国的に見て珍しい山城の復元が行われている武田軍と徳川軍が争った城はどれか。,長篠城,横須賀城,二俣城,高根城,4
11,石垣断面には鉄筋もセメントも用いられていないので、土圧は出来るだけ小さくしないと安定しない。土圧を小さくするには石垣背面の地盤強度が大きい地山を活用しその場所に石垣を配置する。さらに裏込め・埋戻し土の強度を大きくするためには、どのような物をよく締め固めるなどの配慮が必要か。,粒度配分の良い砂質土,角の取れた河原石,粘土,山砂,1
12,城とその城下町造りの思想は、東に流水（青竜）・西に大道（白虎）・南にくぼ地（朱雀）・北に丘陵（玄武〉が備わる土地が望ましいと言われる。これは、古くからの陰陽道に基づく考えが基本にあるが、このような考えは何と言われるか。,四神相応,古神道,古儒教,平安京配置計画,1
13,戦国時代の日本三大奇襲戦とは、桶狭間の戦い・厳島の戦い・川越城（川越夜戦）の戦いとした江戸時代の歴史書はどれか。,日本外史,海国兵談,大日本史,群書類従,1
14,幕末期に異国船の襲来に備えて築城された和式の城は、瑕夷地の松前城の他に西日本にもあった。それはどれか。,唐津城,石田（福江）城,平戸城,肥後南関城,2
15,破風板の拝みには、その後方にある軒木の先端を隠す装飾用の材があるが、これは何と呼ばれるか。,懸魚,蟇股,薙眉,木連格子,1
16,「養生訓」で著名な江戸時代の儒学者貝原益軒が、編纂にあたった家の歴史書はどれか。,黒田家譜,細川両家記,前田家家譜,伊達家冶家記録,1
17,城の石垣にも残る大名の家紋だが、戦場における識別のため急速に広がったのはいつの時代とされるか。,平安時代,鎌倉時代,室町時代,安土桃山時代,2
18,朝鮮半島には約800か所の城跡が確認されているが、朝鮮半島の城の基本形は中国東北地方で発達した北・東・西の三面は山に囲まれその稜線を石積みで囲み、南面は平地に開けた様態の山城である。何型と呼ばれるか。,高句麗型,任那型,百済型,朝鮮北方型,1
19,中国の城郭都市の巨大な城壁は、表面から1～2mの厚さで磚と言われ800℃程度で焼成した黒色せん煉瓦を鉛直に積み上げ、その内側を版築工法で盛土したものである。磚と盛土に利用されていたのはどれか。,黄土,洪積層粘土,沖積層粘土,亜炭,1
20,松代城は、山本勘助が緙張りした時は海津城と呼ばれたがその後の城主によって名前が変わった。松代城と呼ばれた時の城主は誰か。,松平忠直,松平忠輝,真田幸道,真田信繁,2
21,織田信長は安土城築城に着手した翌年城下町整備のための「安土山下町中掟書」をだした。いわゆる楽市楽座令だがこの掟書は何条で出来ているか。,3条,5条,10条,13条,4
22,伊勢の国司から戦国大名となった北畠氏の本拠であり、国の指定史跡になっている城はどれか。,阿坂城,松ヶ島城,松坂城,霧山城,4
23,南北朝時代の築城と伝えられ、城下町には武家屋敷などが良好な状態で残されていることから、九州・沖縄地区で最初の「重要伝統的建造物群保存地区」に指定された城下町はどれか。,知覧,佐土原,大分,飫肥,4
24,室町時代の創築ながら、近世城郭で主流の水堀を2重にめぐらし、さらに巨大な土塁の断面を実物展示すると言う全国でも珍しい設備がある城はどれか。,多聞城,三原城,湯築城,勝龍寺城,3
25,豊臣秀吉が朝鮮出兵の陣城として築いた肥前名護屋城は、現在も発掘調査が進められている。これまでに本丸南西部で発見された大型の建物跡は、畳約何畳敷か。,50,100,150,300,4
26,豊臣秀吉が朝鮮出兵の陣城として築いた肥前名護屋城は、現在も発掘調査が進められている。この建物は、大坂城では何に相当すると考えられているか。,対面所,秀吉の居室,台所,大名の控室,1
27,戦国期の武将大関氏は関東では珍しく外様大名でありながら転封されることもなく明治まで続き、城下町には松尾芭蕉が奥の細道時に1か所として最長の14日滞在した城がある。それはどれか。,黒羽城,烏山城,黒須城,白河小峰城,1
28,正保城絵図も残る梯郭式の平城だが、戊辰戦争で焼失し、明治には本丸跡に停車場が造られたのはどれか。,長岡城,高田城,沼田城,小諸城,1
29,弘前城では標高差の異なる水堀左右の中央にダム状の土手を作り水位を調整しているが、これを何と言うか。,水戸違い,尾張違い,竪違い,水違い,1
30,日本書紀の天智4年（665年）に記述のある山城はどの城か。,大野城,鬼の城,鞠智城,岩屋城,1
31,塀の内側に塀と直角に設け歩板などを渡し塀外の敵に攻撃を加えることができる設備はどれか。,控塀,仕切塀,横塀,出張塀,1
32,北条流の「兵法雄鑑」では土図盤で築城計画をするように記述があるのはどの緹張りの城か。,山城,水城,平山城,平城,1
33,「信長公記」に記述されている安土城築城に従事した近江蒲生郡馬渕の職人の仕事はなにか。,石工,大工,瓦葺き,鍛冶,1
34,「築城記」に山城では高さが5尺2寸、狭間は1町に30ヶ所と書かれているのはどれか。,塀,木戸,櫓[矢倉],天守,1
35,英国王使節が記した「日本渡航記」でロンドンに匹敵すると記されたのはどの都市か。,大坂,神戸,駿府,江戸,1
36,随筆「甲子夜話」を執筆した名を清、号を静山という藩主がいたのはどの城か。,平戸城,福岡城,水戸城,米沢城,1
37,鳥羽伏見の戦いの時の幕府軍総督・大河内定質（松平定質）の居城はどれか。,大多喜城,佐倉城,川越城,甲府城,1
38,南北朝時代には山岳系密教寺院が城郭化に利用されたが、東北地方で南朝方が最後まで死守した密教系山城はどれか。,霊山城,船上山城,麻耶山城,赤坂城,1
39,西の丸は徳川家康が隠居所を江戸城の今の西の丸に築いたのが起源だと言われるが、次の中で西の丸が無いのはどれか。,水戸城,姫路城,岡山城,和歌山城,1
40,海上に浮かぶ島全体を城郭化したものを海城、海賊城、水軍城などと呼びならわされるが、小規模な島全体を城郭化した村上水軍の城はどれか。,屋島城,小豆島城,大三島城,能島城,4
41,「日本書紀丨の「天智紀」には、朝鮮半島からの侵入に備え、6つの城を築いたことが記されているが、この6城に当てはまらないのはどの城か。,水城,大野城,金田城,高安城,1
42,元の再襲来に備えて、鎌倉幕府は、博多湾に沿って石築地（元寇防塁）を築いたが、直接これを築いたのは誰か。,御家人,守護,地頭,大宰府長官,1
43,戦国時代、寺院を中心に堀や土塁で囲い込んだ防御都市「寺内町」が築かれた。これは宗教的な運命共同体で、何宗の教えで築いたのか。,真言宗,臨済宗,日蓮宗,浄土真宗,4
44,松本城天守には、乾小天守と辰巳付櫓と月見櫓が付設しているが、どの建物が最も古くから天守に付設していたか。,乾小天守,辰巳付櫓,月見櫓,すべて同時,1
45,複合式天守は、天守に付櫓等が付設する形式の天守で、通常この付櫓を経由して天守の中にはいるが、下記の天守の中で直接天守に入る入口があるのはどれか。,松江城,備中松山城,彦根城,大垣城,3
46,望楼型天守の利点は、どんなにゆがんだ平面の天守台にも建てられることであるが、望楼型を代表する岡山城の天守台は、何角形か。,五角形,六角形,七角形,八角形,1
47,織田信長は、日本から旅立つ宣教師を見送るため、盂蘭盆会の夜安土城で提灯を飾り付けた。この時、送られた宣教師は誰か。,オルガンティーノ,フロイス,ヴァリニヤ一ノ,ザビエル,3
